code,date
601628,2023-05-15
601633,2012-01-09
601633,2012-01-17
601633,2012-09-19
601633,2012-09-21
601633,2012-10-22
601633,2013-05-16
601633,2013-07-11
601633,2013-08-16
601633,2016-07-26
601633,2016-07-28
601633,2016-10-18
601633,2017-02-06
601633,2017-02-20
601633,2019-01-23
601633,2019-04-17
601633,2020-03-02
601633,2021-06-18
601633,2023-02-09
601633,2023-09-18
601633,2024-03-11
601636,2012-02-29
601636,2012-03-06
601636,2012-03-13
601636,2013-02-25
601636,2013-08-20
601636,2014-08-15
601636,2014-12-08
601636,2015-02-26
601636,2015-03-10
601636,2016-08-29
601636,2017-02-20
601636,2017-06-26
601636,2017-06-29
601636,2017-07-03
601636,2017-07-18
601636,2019-01-18
601636,2019-01-23
601636,2019-02-22
601636,2019-11-14
601636,2022-06-30
601636,2022-12-16
601658,2021-01-29
601658,2021-02-01
601658,2021-02-03
601658,2022-04-15
601658,2022-12-05
601658,2022-12-08
601658,2022-12-16
601658,2023-01-18
601658,2024-02-19
601665,2022-11-29
601665,2022-12-05
601665,2023-08-09
601666,2007-04-10
601666,2007-04-20
601666,2007-06-21
601666,2007-08-14
601666,2008-01-09
601666,2008-01-23
601666,2010-11-01
601666,2011-10-12
601666,2011-11-14
601666,2012-03-02
601666,2013-01-09
601666,2013-01-14
601666,2013-09-09
601666,2013-12-04
601666,2014-08-13
601666,2014-09-17
601666,2014-12-16
601666,2015-04-16
601666,2015-04-21
601666,2017-07-18
601666,2020-12-02
601666,2021-09-22
601666,2022-02-28
601666,2023-11-21
601666,2023-11-23
601668,2011-06-30
601668,2011-07-06
601668,2011-07-11
601668,2012-02-02
601668,2013-05-16
601668,2014-12-25
601668,2020-11-17
601668,2021-03-04
601668,2021-03-05
601668,2021-12-15
601668,2021-12-27
601668,2022-04-19
601668,2022-11-22
601669,2012-12-14
601669,2013-09-23
601669,2017-04-20
601669,2017-07-26
601669,2017-08-25
601669,2021-03-22
601669,2021-08-11
601669,2021-12-15
601669,2022-06-06
601669,2022-12-05
601677,2012-07-18
601677,2013-01-15
601677,2013-01-18
601677,2014-02-21
601677,2014-05-23
601677,2014-05-28
601677,2014-05-30
601677,2014-06-05
601677,2014-06-09
601677,2014-08-04
601677,2014-11-13
601677,2015-06-01
601677,2015-10-23
601677,2015-11-04
601677,2016-07-15
601677,2017-07-19
601677,2019-09-12
601677,2019-10-25
601677,2019-12-30
601677,2020-01-09
601677,2022-08-04
601677,2023-08-09
601678,2010-09-13
601678,2011-07-15
601678,2013-01-14
601678,2015-10-23
601678,2017-01-09
601678,2017-06-26
